api_fixture_id,league,league_id,locked_at_utc,kickoff_utc,close_observed_at_utc,close_gap_minutes,home_team,away_team,bet_id,bet_name,line,open_p_f1_0,open_p_f2_0,close_p_f1_0,close_p_f2_0,move_f1_0_pp,move_f2_0_pp,bet365_close_f1_0,bet365_close_f2_0,user_bookmaker,user_close_f1_0,user_close_f2_0,status,note
1552760,Ligue 1,61,2026-09-13T18:41:20Z,2026-09-13T13:00:00Z,2026-09-13T12:42:54Z,17.1,Lille,Estac Troyes,4,Asian Handicap,0,0.83454282,0.16545718,0.83454282,0.16545718,-0.00000000,0.00000000,1.14,5.75,Marathonbet,1.11,5.05,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1552759,Ligue 1,61,2026-09-13T18:41:20Z,2026-09-13T15:15:00Z,2026-09-13T12:42:54Z,152.1,Le Mans,Lens,4,Asian Handicap,0,0.26348548,0.73651452,0.26348548,0.73651452,-0.00000000,0.00000000,3.55,1.27,Marathonbet,3.56,1.24,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1561927,Austrian Bundesliga,218,2026-09-13T18:41:20Z,2026-09-13T15:00:00Z,2026-09-13T12:42:54Z,137.1,Sturm Graz,Lask Linz,4,Asian Handicap,0,0.40203562,0.59796438,0.34052758,0.65947242,-0.06150804,0.06150804,2.75,1.42,Marathonbet,2.6,1.46,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1558632,Belgian Pro League,144,2026-09-13T18:41:20Z,2026-09-13T14:00:00Z,2026-09-13T12:42:54Z,77.1,Genk,Gent,4,Asian Handicap,0,0.62500000,0.37500000,0.62500000,0.37500000,0.00000000,0.00000000,1.5,2.5,Marathonbet,1.51,2.46,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1558633,Belgian Pro League,144,2026-09-13T18:41:20Z,2026-09-13T16:30:00Z,2026-09-13T12:42:54Z,227.1,Zulte Waregem,Charleroi,4,Asian Handicap,0,0.50526316,0.49473684,0.48684211,0.51315789,-0.01842105,0.01842105,1.95,1.85,Marathonbet,1.92,1.83,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1558634,Belgian Pro League,144,2026-09-13T18:41:20Z,2026-09-13T17:15:00Z,2026-09-13T12:42:54Z,272.1,RAAL La Louvière,Kortrijk,4,Asian Handicap,0,0.56135770,0.43864230,0.54736842,0.45263158,-0.01398928,0.01398928,1.72,2.08,Marathonbet,1.72,2.05,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1549020,Danish Superliga,119,2026-09-13T18:41:20Z,2026-09-13T14:00:00Z,2026-09-13T12:42:54Z,77.1,Randers FC,Odense,4,Asian Handicap,0,0.58974359,0.41025641,0.60559796,0.39440204,0.01585437,-0.01585437,1.55,2.38,Marathonbet,1.56,2.34,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1549019,Danish Superliga,119,2026-09-13T18:41:20Z,2026-09-13T16:00:00Z,2026-09-13T12:42:54Z,197.1,FC Nordsjaelland,Aarhus,4,Asian Handicap,0,0.67058824,0.32941176,0.67058824,0.32941176,-0.00000000,0.00000000,1.4,2.85,Marathonbet,1.34,2.79,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1547631,A Lyga,362,2026-09-13T18:41:20Z,2026-09-13T14:00:00Z,2026-09-13T12:42:54Z,77.1,Šiauliai,Hegelmann Litauen,4,Asian Handicap,0,0.48684211,0.51315789,0.48684211,0.51315789,-0.00000000,0.00000000,1.95,1.85,Marathonbet,1.89,1.79,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1547630,A Lyga,362,2026-09-13T18:41:20Z,2026-09-13T15:45:00Z,2026-09-13T12:42:54Z,182.1,Suduva Marijampole,FK Zalgiris Vilnius,4,Asian Handicap,0,0.47368421,0.52631579,0.51315789,0.48684211,0.03947368,-0.03947368,1.85,1.95,Marathonbet,1.81,1.87,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
