fixture_id,kickoff_utc,team_id,team_name,player_id,player_name,injury_type,injury_reason,retrieved_at_utc,evidence_state,temporal_authority,prematch_known,impact_score,impact_authority,research_only
1390031,2025-08-03T15:00:00+00:00,1394,FC BW Linz,7254,Paul Mensah,,Adductor muscle tear,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1390031,2025-08-03T15:00:00+00:00,781,Rapid Vienna,169420,Moritz Oswald,,Partial tear of the plantar fa,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1390031,2025-08-03T15:00:00+00:00,781,Rapid Vienna,272700,N. Bischof,,Sprained ankle,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1390031,2025-08-03T15:00:00+00:00,781,Rapid Vienna,339985,J. Schöller,,Hamstring Injury,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1390031,2025-08-03T15:00:00+00:00,781,Rapid Vienna,39288,T. Børkeeiet,,Cartilage Damage,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1390031,2025-08-03T15:00:00+00:00,781,Rapid Vienna,428779,Nikolaus Wurmbrand,,Hamstring Injury,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1390031,2025-08-03T15:00:00+00:00,781,Rapid Vienna,461621,Amìn-Elias Gröller,,Injury,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1382440,2025-08-03T16:30:00+00:00,1393,Union St. Gilloise,76579,Guillaume Francois,,Unknown Injury,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1382440,2025-08-03T16:30:00+00:00,260,OH Leuven,315024,Manuel Osifo,,Minor Knock,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1382440,2025-08-03T16:30:00+00:00,260,OH Leuven,71109,Bryang Kayo,,Minor Knock,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
