api_fixture_id,captured_at_utc,country,league,api_league_id,kickoff_utc,home_team_id,home_team,away_team_id,away_team,b365_home,b365_draw,b365_away,api_update_utc,source,fixture_status_at_capture
1552762,2026-09-11T20:08:08Z,France,Ligue 1,61,2026-09-12T18:45:00+00:00,114,Paris FC,80,Lyon,2.55,3.6,2.55,2026-09-11T17:27:18+00:00,Stage71 first complete Bet365 1X2 capture,
1561927,2026-09-11T20:08:08Z,Austria,Austrian Bundesliga,218,2026-09-13T15:00:00+00:00,637,Sturm Graz,1026,Lask Linz,3.0,3.6,2.2,2026-09-11T17:56:16+00:00,Stage71 first complete Bet365 1X2 capture,
1558631,2026-09-11T20:08:08Z,Belgium,Belgian Pro League,144,2026-09-13T11:30:00+00:00,569,Club Brugge KV,740,Antwerp,1.25,5.5,9.0,2026-09-11T17:47:22+00:00,Stage71 first complete Bet365 1X2 capture,
1549018,2026-09-11T20:08:08Z,Denmark,Danish Superliga,119,2026-09-14T17:00:00+00:00,397,FC Midtjylland,407,Brondby,1.85,3.9,3.75,2026-09-11T17:14:14+00:00,Stage71 first complete Bet365 1X2 capture,
1552167,2026-09-11T20:08:08Z,Netherlands,Eredivisie,88,2026-09-13T10:15:00+00:00,196,Excelsior,207,Utrecht,2.2,3.75,3.0,2026-09-11T17:25:17+00:00,Stage71 first complete Bet365 1X2 capture,
1553171,2026-09-11T20:08:08Z,Poland,Ekstraklasa,106,2026-09-13T10:15:00+00:00,341,Wisla Plock,350,Cracovia Krakow,2.5,3.25,2.6,2026-09-11T13:19:19+00:00,Stage71 first complete Bet365 1X2 capture,
1553166,2026-09-11T20:08:08Z,Poland,Ekstraklasa,106,2026-09-13T12:45:00+00:00,348,Pogon Szczecin,17115,Wieczysta Kraków,1.95,3.4,3.5,2026-09-11T13:19:19+00:00,Stage71 first complete Bet365 1X2 capture,
1584409,2026-09-11T20:08:08Z,Turkey,Super Lig,203,2026-09-13T14:00:00+00:00,997,Gençlerbirliği S.K.,1004,Kasımpaşa,2.25,3.2,3.1,2026-09-11T18:46:18+00:00,Stage71 first complete Bet365 1X2 capture,
1557406,2026-09-11T20:52:31Z,England,Premier League,39,2026-09-12T16:30:00+00:00,47,Tottenham,45,Everton,2.0,3.6,3.6,2026-09-11T17:43:30+00:00,Stage71 first complete Bet365 1X2 capture,NS
1575165,2026-09-11T20:52:31Z,Germany,Bundesliga,78,2026-09-12T16:30:00+00:00,192,1. FC Köln,162,Werder Bremen,2.05,3.8,3.3,2026-09-11T18:26:15+00:00,Stage71 first complete Bet365 1X2 capture,NS
1557405,2026-09-11T20:52:31Z,England,Premier League,39,2026-09-12T19:00:00+00:00,746,Sunderland,42,Arsenal,7.5,4.1,1.48,2026-09-11T17:43:30+00:00,Stage71 first complete Bet365 1X2 capture,NS
1552166,2026-09-12T15:28:05Z,Netherlands,Eredivisie,88,2026-09-13T12:30:00+00:00,210,Heerenveen,427,Telstar,1.6,4.5,4.75,2026-09-12T13:34:17+00:00,Stage71 first complete Bet365 1X2 capture,NS
1557400,2026-09-12T15:28:05Z,England,Premier League,39,2026-09-13T13:00:00+00:00,1346,Coventry,51,Brighton,3.8,3.9,1.9,2026-09-12T13:53:15+00:00,Stage71 first complete Bet365 1X2 capture,NS
1552760,2026-09-12T15:28:06Z,France,Ligue 1,61,2026-09-13T13:00:00+00:00,79,Lille,110,Estac Troyes,1.44,4.5,7.0,2026-09-12T13:36:17+00:00,Stage71 first complete Bet365 1X2 capture,NS
1575159,2026-09-12T15:28:06Z,Germany,Bundesliga,78,2026-09-13T13:30:00+00:00,173,RB Leipzig,175,Hamburger SV,1.33,5.25,8.5,2026-09-12T14:38:17+00:00,Stage71 first complete Bet365 1X2 capture,NS
1558632,2026-09-12T15:28:06Z,Belgium,Belgian Pro League,144,2026-09-13T14:00:00+00:00,742,Genk,631,Gent,1.91,3.5,3.4,2026-09-12T13:57:20+00:00,Stage71 first complete Bet365 1X2 capture,NS
1570376,2026-09-12T15:28:06Z,Spain,La Liga,140,2026-09-13T14:15:00+00:00,539,Levante,529,Barcelona,17.0,8.0,1.14,2026-09-12T10:27:18+00:00,Stage71 first complete Bet365 1X2 capture,NS
1552170,2026-09-12T15:28:06Z,Netherlands,Eredivisie,88,2026-09-13T14:45:00+00:00,193,PEC Zwolle,209,Feyenoord,5.75,5.25,1.45,2026-09-12T13:34:17+00:00,Stage71 first complete Bet365 1X2 capture,NS
1494758,2026-09-12T15:28:06Z,Norway,Eliteserien,103,2026-09-13T15:00:00+00:00,2159,Ham-Kam,329,Molde,4.2,4.0,1.73,2026-09-12T12:08:16+00:00,Stage71 first complete Bet365 1X2 capture,NS
1552759,2026-09-12T15:28:07Z,France,Ligue 1,61,2026-09-13T15:15:00+00:00,1298,Le Mans,116,Lens,4.75,4.1,1.67,2026-09-12T13:36:17+00:00,Stage71 first complete Bet365 1X2 capture,NS
1557404,2026-09-12T15:28:07Z,England,Premier League,39,2026-09-13T15:30:00+00:00,33,Manchester United,50,Manchester City,3.2,3.9,2.1,2026-09-12T13:53:15+00:00,Stage71 first complete Bet365 1X2 capture,NS
1575166,2026-09-12T15:28:07Z,Germany,Bundesliga,78,2026-09-13T15:30:00+00:00,1660,SV Elversberg,157,Bayern München,13.0,9.0,1.14,2026-09-12T14:38:17+00:00,Stage71 first complete Bet365 1X2 capture,NS
1553165,2026-09-12T15:28:08Z,Poland,Ekstraklasa,106,2026-09-13T15:30:00+00:00,339,Legia Warszawa,6962,Widzew Łódź,1.73,3.5,4.4,2026-09-12T13:37:14+00:00,Stage71 first complete Bet365 1X2 capture,NS
1570375,2026-09-12T15:28:08Z,Spain,La Liga,140,2026-09-13T16:30:00+00:00,546,Getafe,544,Deportivo La Coruna,2.4,2.9,3.4,2026-09-12T10:27:18+00:00,Stage71 first complete Bet365 1X2 capture,NS
1584407,2026-09-12T15:28:08Z,Turkey,Super Lig,203,2026-09-13T17:00:00+00:00,645,Galatasaray,7411,Kocaelispor,1.33,5.0,8.0,2026-09-12T10:56:16+00:00,Stage71 first complete Bet365 1X2 capture,NS
1584404,2026-09-12T15:28:08Z,Turkey,Super Lig,203,2026-09-13T17:00:00+00:00,3579,Amed,564,Başakşehir,2.5,3.4,2.6,2026-09-12T10:56:16+00:00,Stage71 first complete Bet365 1X2 capture,NS
1575496,2026-09-12T15:28:08Z,Portugal,Primeira Liga,94,2026-09-13T19:30:00+00:00,242,Famalicao,228,Sporting CP,6.0,4.1,1.53,2026-09-12T14:39:18+00:00,Stage71 first complete Bet365 1X2 capture,NS
1557402,2026-09-12T15:28:09Z,England,Premier League,39,2026-09-14T19:00:00+00:00,63,Leeds,34,Newcastle,2.3,3.5,3.0,2026-09-12T13:53:15+00:00,Stage71 first complete Bet365 1X2 capture,NS
1561935,2026-09-12T15:28:09Z,Austria,Austrian Bundesliga,218,2026-09-18T17:30:00+00:00,781,Rapid Vienna,1398,WSG Wattens,1.4,4.5,6.5,2026-09-12T10:06:18+00:00,Stage71 first complete Bet365 1X2 capture,NS
1575167,2026-09-12T15:28:09Z,Germany,Bundesliga,78,2026-09-18T18:30:00+00:00,157,Bayern München,182,Union Berlin,1.1,10.0,17.0,2026-09-12T14:38:17+00:00,Stage71 first complete Bet365 1X2 capture,NS
1575172,2026-09-12T15:28:10Z,Germany,Bundesliga,78,2026-09-19T13:30:00+00:00,162,Werder Bremen,170,FC Augsburg,2.38,3.7,2.7,2026-09-12T14:38:17+00:00,Stage71 first complete Bet365 1X2 capture,NS
1558633,2026-09-12T23:27:31Z,Belgium,Belgian Pro League,144,2026-09-13T16:30:00+00:00,600,Zulte Waregem,736,Charleroi,2.45,3.3,2.55,2026-09-12T21:46:19+00:00,Stage71 first complete Bet365 1X2 capture,NS
1558634,2026-09-12T23:27:32Z,Belgium,Belgian Pro League,144,2026-09-13T17:15:00+00:00,5902,RAAL La Louvière,734,Kortrijk,2.35,3.2,2.75,2026-09-12T21:46:19+00:00,Stage71 first complete Bet365 1X2 capture,NS
1494757,2026-09-12T23:27:32Z,Norway,Eliteserien,103,2026-09-13T17:15:00+00:00,2149,Fredrikstad,333,Sarpsborg 08 FF,2.38,3.6,2.7,2026-09-12T20:07:14+00:00,Stage71 first complete Bet365 1X2 capture,NS
1552169,2026-09-12T23:27:32Z,Netherlands,Eredivisie,88,2026-09-13T18:00:00+00:00,197,PSV Eindhoven,426,Sparta Rotterdam,1.18,7.5,13.0,2026-09-12T21:28:15+00:00,Stage71 first complete Bet365 1X2 capture,NS
1552757,2026-09-12T23:27:32Z,France,Ligue 1,61,2026-09-13T18:45:00+00:00,106,Stade Brestois 29,85,Paris Saint Germain,11.0,6.0,1.25,2026-09-12T21:29:15+00:00,Stage71 first complete Bet365 1X2 capture,NS
1570380,2026-09-12T23:27:33Z,Spain,La Liga,140,2026-09-13T19:00:00+00:00,548,Real Sociedad,530,Atletico Madrid,2.9,3.6,2.3,2026-09-12T22:11:15+00:00,Stage71 first complete Bet365 1X2 capture,NS
